texto,url-post
#EcuadorDebate2021 ✅  Estas fueron las declaraciones del candidato Yaku Pérez en el debate de esta noche.,https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/139537301_110897790857769_3149771798095915800_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=dpaYveVi2HwAX-12m1g&tp=1&oh=5e403fb33474481952538e8340e5596e&oe=6010ABE1
"Photo by José Cabrera Zurita on January 18, 2021. La imagen puede contener: 4 personas, personas de pie, personas en el escenario y barba.",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/e35/c153.0.613.613a/139367503_903014350457901_2935225728837812982_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=sjbYDazthOwAX_Tk3we&tp=1&oh=eb67fd2f760301d3c64ca457ac69bb20&oe=603968B4
🇪🇨#EcuadorDebate2021 En el #DebatePresidencial2021 de ayer se vio las dos tendencias. #AndresArauz que representa al progresismo y los demás candidatos que representan al poder económico y financiero del país @OrlandoPerezEC y @marcelovarela en @teleSURtv,https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/e15/c0.238.612.612a/139404722_1510216019179972_2983972643247477887_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=2XFLCYnY880AX_6uP_-&tp=1&oh=c72e6a6ca74a167f8c4927f9bbbe146c&oe=60104284
"En Clave Política @EnClavePolitik
13h
🇪🇨#EcuadorDebate2021 En #Ecuador 16 candidatos presidenciales participan en el #DebatePresidencial2021 La noche de ayer todos salieron a descansar a excepción de #AndresArauz que hizo una gran caravana en #Guayaquil",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/e15/c0.238.612.612a/139613422_467128707620449_7357844199974514643_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=0UJQp4tj_VUAX83xMVi&tp=1&oh=3e2729b9c594bba8ad6835de2a3e078e&oe=60103D18
"Photo by Diario El Comercio de Ecuador on January 17, 2021. La imagen puede contener: 1 persona, texto que dice ""# DEBATE ECUADOR 2021 EL COMERCIO 17-01-2021 VAMOS A CAMBIAR TODAS LAS LEYES QUE SE APROBARON EN EL GOBIERNO DE RAFAEL CORREA PARA PROTEGER A LOS DELINCUENTES. VAMOS A DARLE A LA FUERZA PÚBLICA TODO EL ΑΡΟΥΟ LOGÍSTICO Y LA BASE LEGAL PARA QUE DEFIENDA A LOS CIUDADANOS EC Candidato de PSP Lucio Gutiérrez"".",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/c0.54.1080.1080a/s640x640/139150313_707204973332211_4507968939723649508_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=tmp8AX4DaQAAX_Az0r2&tp=1&oh=3f5c77add7d9ecc004902ea2198c09a5&oe=6037F230
"Photo by Diario El Comercio de Ecuador on January 17, 2021. La imagen puede contener: 1 persona, texto que dice ""#DEDADE DEBATE ECUADOR 2021 ELCOMERCIO 17-01-2021 TENEMOS QUE BUSCAR UNIDAD. ESTAMOS CANSADOS DE ESTA POLARIZACIÃ“N PERMANENTE, EN DONDE DESDE LA DESCALIFICACIÃ“N, DESDE EL INSULTO, (...) NO ENCONTRAMOS EL CAMINO PARA RESOLVER LOS GRANDES PROBLEMAS DE NUESTRA NACION EC Juan Fernando Velasco Candidato de Construye"".",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/c0.54.1080.1080a/s640x640/139571513_754636118818749_1539945261931791486_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=9fiVUWjbLo4AX9kokQ3&tp=1&oh=b58fdb2955fe9d2597793774272f9ff5&oe=60361396
"Photo by La Data on January 17, 2021. La imagen puede contener: 1 persona, texto que dice ""CONFIANZA IGUALDAD La última Noche La dlata. de Debate Presidencial LIBERTAD ESPERANZA JUSTIC ""SIENTO QUE NADIE RESPONDIÃ“ LO QUE TENÍAN QUE RESPONDER, SIENTO QUE EL NIVEL DE ESTE DEBATE Ha SIDO MUY BAJO"". DERECHO PEDRO FREILE RELACIONES INTERNACIONALES Y DERECHOS HUMANOS @LaDataEc"".",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/140050807_103165235014365_815111541941357030_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=teCTi_3YAjEAX_wdoV-&tp=1&oh=e755a8f1c92ce0c256a56c71b809b8b7&oe=60388FB9
"Photo by Fortaleza Ecuador in Guayaquil, Ecuador with @jotapons, @rickyhernandz, and @guillermodelpinorub. La imagen puede contener: 1 persona, texto que dice ""No hay duda, definitivamente el GANADOR del debate y la MEJOR PROPUESTA del CAMBIO la tiene nuestro futuro PRESIDENTE GUILLERMO LASSO #CREO 21 21 FORTALEZA ECUADOR GRUPO DE NDEPEND"".",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/c42.0.1116.1116a/s640x640/140271677_1682771221901900_481451500932837248_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=xmWtErFqKjIAX-KU1QS&tp=1&oh=72bfdaa4147def657e7f7a26afc2a51d&oe=6037DDA2
"Photo by La Data on January 17, 2021. La imagen puede contener: 1 persona, texto que dice ""CONFIANZA IGUALDAD La Última Noche La dlata. de Debate Presidencial LIBERTAD ESPERANZA JUSTICI ""EL ECUADOR NO ESTÁ QUEBRADO, EL ECUADOR ESTÁ MAL ADMINISTRADO POR LOS MISMOS DE SIEMPRE"" DERE GERSON ALMEIDA ..' RELACIONES INTERNACIONALES Y DERECHOS HUMANOS @LaDataEc"".",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/139620963_471137577210690_1929235579758655832_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=WX5Y_VaM3A8AX9q0WCs&tp=1&oh=2add12cc81684725440f2d80acf91c3d&oe=60381022
"#EcuadorDebate2021 ✅  Estas fueron las declaraciones del candidato Xavier Hervas en el debate de esta noche.⁣
-⁣
Síguelo en vivo en www.tctelevision.com 📺",https://instagram.fgye6-1.fna.fbcdn.net/v/t51.2885-15/e35/c163.0.394.394a/139223858_1097857507361035_1739638688260987838_n.jpg?_nc_ht=instagram.fgye6-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=m-GqneVBT5kAX8892WD&tp=1&oh=0e66ef5b72f61a4393993a061aa05668&oe=60106C77
