Id,Label,timeset,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,indegree,outdegree,Degree
BancoGuayaquil,,,0,0,0,0,26,28,0,28
karitupl_,,,0,0,0,0,137,3,0,3
alemoralesm,,,0,0,0,0,137,1,0,1
84AndreaPerrone,,,1,1,1,0,4,0,4,4
KikiFlresMrtnz,,,0,0,0,0,4,1,0,1
JEPERS7,,,0,0,0,0,4,1,0,1
natencioalvarez,,,0,0,0,0,4,1,0,1
mauroojedabsc,,,21,0.098876,0.130992,0,121,0,5,5
XavierOZevallos,,,0,0,0,0,121,3,0,3
HuguitoECU,,,0,0,0,0,121,1,0,1
MateoMartinezAb,,,20,0.108818,0.149801,1942.583333,121,5,5,10
jowohlgemuth,,,0,0,0,0,121,1,0,1
pjfreile,,,1,1,1,12509.5,7,94,2,96
diegoalban,,,1,1,1,4,27,1,4,5
MaJosefaCoronel,,,0,0,0,0,27,406,0,406
aletimartinez,,,0,0,0,0,27,1,0,1
carobalverdi,,,0,0,0,0,27,1,0,1
Odiadoporopinar,,,0,0,0,0,27,1,0,1
SalvaFonseca,,,1,1,1,0,27,0,2,2
davidaguirrep,,,0,0,0,0,27,1,0,1
StudioFutbol,,,0,0,0,0,27,2,0,2
rogmos,,,5,0.439394,0.66954,0,176,0,15,15
GabyJurado7,,,0,0,0,0,176,1,0,1
AlvaroRiera24,,,0,0,0,0,176,1,0,1
CSEmelec,,,0,0,0,0,176,3,0,3
jamolestina,,,1,1,1,4,176,2,2,4
gisellabuendia,,,0,0,0,0,176,1,0,1
ccarrasco750,,,0,0,0,0,176,1,0,1
pilumeneses,,,0,0,0,0,176,1,0,1
karolinadavilac,,,0,0,0,0,176,1,0,1
PatoCornejo,,,0,0,0,0,176,1,0,1
AntonioUbilla1,,,0,0,0,0,176,1,0,1
gallardogerman,,,0,0,0,0,176,2,0,2
joacosaavedraq,,,0,0,0,0,176,1,0,1
guaroscafe,,,0,0,0,0,176,1,0,1
solepatinoa,,,4,0.342857,0.4375,71,137,5,2,7
Mediagalleta,,,0,0,0,0,26,2,0,2
msyp1987,,,16,0.133162,0.188271,55.033333,137,1,18,19
washingtonbata3,,,0,0,0,0,137,1,0,1
CarlosVerareal,,,2,0.583333,0.642857,308,137,27,2,29
La_chica_velcro,,,1,1,1,429.275794,181,56,2,58
farizzio,,,1,1,1,2,4,1,1,2
estebanavila,,,24,0.073904,0.088682,14,137,2,4,6
uscocovich1972,,,0,0,0,0,137,1,0,1
ayalgeorge80,,,0,0,0,0,137,1,0,1
ClaudiaRoura,,,2,0.916667,0.954545,35510.105784,7,34,10,44
5_elizabet,,,0,0,0,0,137,1,0,1
ilogicoec,,,0,0,0,0,137,1,0,1
pcaicedoare,,,15,0.147912,0.197991,535.275476,26,1,8,9
MorenaMia2020,,,0,0,0,0,137,2,0,2
mariasolborja,,,21,0.093911,0.117293,402882.873046,7,484,2,486
FrankSamaniegoM,,,16,0.119759,0.149148,31817.76956,4,80,7,87
24Fis,,,0,0,0,0,4,1,0,1
PaolaPabonC,,,0,0,0,0,56,9,0,9
MajitoCandonga,,,0,0,0,0,4,1,0,1
AndrsChano1,,,0,0,0,0,4,1,0,1
Charlie_wind,,,1,1,1,0,27,0,3,3
javierfma,,,0,0,0,0,27,2,0,2
EcuadorVideo1,,,0,0,0,0,27,40,1,41
ecuadortr,,,0,0,0,0,181,75,0,75
ivonnelago,,,5,0.321429,0.458333,0,112,0,4,4
luistorresamaya,,,0,0,0,0,112,1,0,1
Charly360CG,,,0,0,0,0,112,1,0,1
SaraEspana,,,2,0.666667,0.75,1508.093151,112,77,2,79
yoilerb82,,,21,0.096999,0.120505,0,137,0,2,2
aurysofia,,,0,0,0,0,137,1,0,1
geochambers,,,13,0.221852,0.324283,0,137,0,50,50
yakuperezg,,,0,0,0,0,9,558,0,558
VLandetta,,,18,0.129104,0.19492,42434.388957,7,10,14,24
nestorvalle8801,,,0,0,0,0,137,1,0,1
PedritoExtranja,,,0,0,0,0,9,8,0,8
chriseducastro,,,0,0,0,0,137,2,0,2
tioelmoi,,,0,0,0,0,4,6,0,6
ATMGuayaquil,,,0,0,0,0,137,5,0,5
luisantonio_r,,,23,0.079541,0.095606,2659.507332,137,12,3,15
ACervantes_EC,,,0,0,0,0,137,1,0,1
Pibismrevoluti1,,,0,0,0,0,137,2,0,2
rakellypy,,,0,0,0,0,137,1,0,1
Karen41533714,,,0,0,0,0,137,1,0,1
AlbertoAcostaE,,,16,0.11915,0.143052,16285.361081,9,53,3,56
RafaelCompte,,,20,0.106843,0.136934,0.333333,137,2,1,3
fmmundo,,,0,0,0,0,137,4,0,4
benarquitecto,,,0,0,0,0,137,1,0,1
elnoticierotc,,,0,0,0,0,137,1,0,1
mabsegovia,,,1,1,1,0,4,288,1,289
EcuavisaInforma,,,0,0,0,0,112,80,0,80
silvitabuendia,,,18,0.138538,0.226081,941668.996712,7,13,22,35
PrimeraPlanaECU,,,1,1,1,58.566667,9,16,1,17
connection53,,,0,0,0,0,137,1,0,1
EmilyVeraA_,,,16,0.121914,0.156923,88293.079831,4,41,7,48
RonnyAleagaS,,,16,0.121218,0.150868,6553.644527,4,83,4,87
VickyDesintonio,,,1,1,1,6107.926685,4,149,4,153
LeonardoQuirozL,,,0,0,0,0,4,5,0,5
MagdaRoblesL,,,16,0.118976,0.142492,948.533333,4,27,2,29
JorgeVelezVelez,,,16,0.122712,0.163778,43999.927158,4,6,9,15
MireyaG33612517,,,1,1,1,0,137,1,1,2
chinto_maciasp,,,2,0.8,0.875,1,137,1,3,4
Sandinin,,,13,0.192215,0.2889,114338.382328,4,83,47,130
perjudicado2010,,,0,0,0,0,137,1,0,1
filosofooscuro,,,0,0,0,0,137,1,0,1
esantos1957,,,15,0.143987,0.186666,9036.427255,4,5,10,15
radiolacalle,,,3,0.52381,0.575758,1757.83539,4,62,2,64
amandaasubiar,,,17,0.13246,0.172341,175728.480944,4,139,5,144
_Illaritika,,,13,0.168249,0.214058,11.194444,4,1,4,5
IsmaelUlloaEc,,,13,0.181896,0.238474,1207222.691378,4,464,7,471
mafernandadm,,,0,0,0,0,137,1,0,1
Monsesilla14,,,0,0,0,0,137,1,0,1
diana_moranc,,,0,0,0,0,181,2,0,2
andress1982,,,1,1,1,0,3,0,1,1
eluniversocom,,,0,0,0,0,3,23,0,23
DAMASIOSANTOS,,,1,1,1,0,8,0,3,3
dolarizacionEc,,,0,0,0,0,8,1,0,1
adam_tooze,,,0,0,0,0,8,1,0,1
Antoniovaldez99,,,0,0,0,0,7,1,0,1
LaPosta_Ecu,,,0,0,0,0,181,52,0,52
Primicias,,,0,0,0,0,3,4,0,4
EspaciadoraBar,,,2,0.75,0.833333,269.186927,3,2,2,4
MigueLoaizaC,,,0,0,0,0,7,1,0,1
fridayorke,,,18,0.113164,0.139886,17204.041595,7,2,2,4
alesscooknbake,,,0,0,0,0,7,1,0,1
AparicioCaicedo,,,0,0,0,0,56,2,0,2
ACampanaRemache,,,21,0.097356,0.125506,41482.506545,9,63,4,67
Mariasolecita,,,17,0.14305,0.213291,216728.321895,7,13,14,27
sybelmartinez,,,17,0.12654,0.162031,350444.322756,7,141,4,145
GingerAlejandr0,,,18,0.130586,0.202,49927.994035,7,13,13,26
DianaIMaldonado,,,18,0.130133,0.199745,145224.305631,7,30,16,46
ecuadorprensaec,,,20,0.103158,0.132101,107168.595303,7,156,4,160
lahoraecuador,,,18,0.129656,0.201723,989503.375226,112,127,18,145
RonnyHC20,,,0,0,0,0,7,6,0,6
SalaDePrensaEc,,,0,0,0,0,7,20,0,20
BYRONSANCHEZG,,,19,0.119423,0.16742,6228,7,1,2,3
XavierBon99,,,0,0,0,0,7,1,0,1
srpichonpichon,,,0,0,0,0,7,1,0,1
turcacat,,,0,0,0,0,7,3,0,3
AlexdeEdm,,,0,0,0,0,7,1,0,1
saulbozabenalc1,,,0,0,0,0,7,1,0,1
Lenin62311360,,,0,0,0,0,7,1,0,1
marcosdoge,,,0,0,0,0,181,3,0,3
gabrielcassis,,,19,0.119378,0.166374,0,7,1,1,2
migaceya,,,19,0.119895,0.17213,26055.060384,7,1,4,5
